State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Maharashtra,AHMEDNAGAR,1997,Autumn,Maize,1,3
Maharashtra,AHMEDNAGAR,1997,Kharif,Maize,4400,12760
Maharashtra,AHMEDNAGAR,1997,Kharif,Rice,5900,17700
Maharashtra,AHMEDNAGAR,1997,Kharif,Sugarcane,45900,3213000
Maharashtra,AHMEDNAGAR,1997,Rabi,Maize,6200,17980
Maharashtra,AHMEDNAGAR,1997,Rabi,Wheat,79700,247070
Maharashtra,AHMEDNAGAR,1997,Summer,Maize,1100,3190
Maharashtra,AHMEDNAGAR,1997,Whole Year,Cotton,98,39.2
Maharashtra,AHMEDNAGAR,1998,Kharif,Cotton,12100,4840
Maharashtra,AHMEDNAGAR,1998,Kharif,Maize,5800,16820
Maharashtra,AHMEDNAGAR,1998,Kharif,Rice,5600,16800
Maharashtra,AHMEDNAGAR,1998,Kharif,Sugarcane,59600,4172000
Maharashtra,AHMEDNAGAR,1998,Rabi,Maize,7900,22910
Maharashtra,AHMEDNAGAR,1998,Rabi,Wheat,124400,385640
Maharashtra,AHMEDNAGAR,1998,Summer,Maize,1500,4350
Maharashtra,AHMEDNAGAR,1999,Kharif,Cotton,15000,6000
Maharashtra,AHMEDNAGAR,1999,Kharif,Maize,6400,18560
Maharashtra,AHMEDNAGAR,1999,Kharif,Rice,5700,17100
Maharashtra,AHMEDNAGAR,1999,Rabi,Maize,8800,25520
Maharashtra,AHMEDNAGAR,1999,Rabi,Wheat,127000,393700
Maharashtra,AHMEDNAGAR,1999,Summer,Maize,1700,4930
Maharashtra,AHMEDNAGAR,1999,Whole Year,Sugarcane,66600,4662000
Maharashtra,AHMEDNAGAR,2000,Kharif,Cotton,15700,6280
Maharashtra,AHMEDNAGAR,2000,Kharif,Maize,7000,20300
Maharashtra,AHMEDNAGAR,2000,Kharif,Rice,5500,16500
Maharashtra,AHMEDNAGAR,2000,Rabi,Maize,14000,40600
Maharashtra,AHMEDNAGAR,2000,Rabi,Wheat,94700,293570
Maharashtra,AHMEDNAGAR,2000,Summer,Maize,1500,4350
Maharashtra,AHMEDNAGAR,2000,Whole Year,Sugarcane,67100,4697000
Maharashtra,AHMEDNAGAR,2001,Kharif,Cotton,13500,5400
Maharashtra,AHMEDNAGAR,2001,Kharif,Maize,6400,18560
Maharashtra,AHMEDNAGAR,2001,Kharif,Rice,7300,21900
Maharashtra,AHMEDNAGAR,2001,Rabi,Maize,12300,35670
Maharashtra,AHMEDNAGAR,2001,Rabi,Wheat,93800,290780
Maharashtra,AHMEDNAGAR,2001,Summer,Maize,1500,4350
Maharashtra,AHMEDNAGAR,2001,Whole Year,Sugarcane,52000,3640000
