State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Maharashtra,Ahmednagar,1997,rabi,maize,98.32,292.77
Maharashtra,Ahmednagar,1997,rabi,wheat,5.72,15.58
Maharashtra,Ahmednagar,1997,rabi,rice,73.46,284.12
Maharashtra,Ahmednagar,1997,rabi,cotton,8.84,9.56
Maharashtra,Ahmednagar,1997,rabi,sugarcane,19.98,1006.71
Maharashtra,Ahmednagar,1997,kharif,maize,24.18,71.11
Maharashtra,Ahmednagar,1997,kharif,wheat,10.88,25.18
Maharashtra,Ahmednagar,1997,kharif,rice,84.99,312.15
Maharashtra,Ahmednagar,1997,kharif,cotton,29.66,31.68
Maharashtra,Ahmednagar,1997,kharif,sugarcane,16.38,765.46
Maharashtra,Ahmednagar,1997,whole year,maize,60.37,164.18
Maharashtra,Ahmednagar,1997,whole year,wheat,22.15,58.97
Maharashtra,Ahmednagar,1997,whole year,rice,64.31,274.92
Maharashtra,Ahmednagar,1997,whole year,cotton,76.58,83.25
Maharashtra,Ahmednagar,1997,whole year,sugarcane,73.31,3313.98
Maharashtra,Ahmednagar,1998,rabi,maize,52.22,160.93
Maharashtra,Ahmednagar,1998,rabi,wheat,37.57,88.64
Maharashtra,Ahmednagar,1998,rabi,rice,80.61,343.12
Maharashtra,Ahmednagar,1998,rabi,cotton,30.08,32.8
Maharashtra,Ahmednagar,1998,rabi,sugarcane,59.23,3123.69
Maharashtra,Ahmednagar,1998,kharif,maize,97.82,281.58
Maharashtra,Ahmednagar,1998,kharif,wheat,66.42,171.83
Maharashtra,Ahmednagar,1998,kharif,rice,95.86,392.6
Maharashtra,Ahmednagar,1998,kharif,cotton,67.11,65.76
Maharashtra,Ahmednagar,1998,kharif,sugarcane,76.04,3713.71
Maharashtra,Ahmednagar,1998,whole year,maize,68.11,193.65
Maharashtra,Ahmednagar,1998,whole year,wheat,34.14,79.42
Maharashtra,Ahmednagar,1998,whole year,rice,41.32,152.24
Maharashtra,Ahmednagar,1998,whole year,cotton,7.56,7.68
Maharashtra,Ahmednagar,1998,whole year,sugarcane,66.77,3100.56
Maharashtra,Ahmednagar,1999,rabi,maize,45.53,136.21
Maharashtra,Ahmednagar,1999,rabi,wheat,84.32,207.91
Maharashtra,Ahmednagar,1999,rabi,rice,81.82,308.74
